ident	lon	lat
0	-46.836705	-23.550323
1	-46.87845	-23.48227
2	-46.881529	-23.479326
3	-46.886188	-23.484412
4	-46.887337	-23.482991
5	-46.889167	-23.483638
6	-46.888912	-23.484753
7	-46.886637	-23.487294
8	-46.885135	-23.48805
9	-46.884006	-23.488768
10	-46.88716	-23.492078
11	-46.887169	-23.491899
12	-46.888533	-23.490784
13	-46.889445	-23.492188
14	-46.890284	-23.491724
15	-46.893497	-23.490615
16	-46.893161	-23.485938
17	-46.893335	-23.485968
18	-46.896339	-23.487294
19	-46.896369	-23.488489
20	-46.897603	-23.490994
21	-46.898875	-23.490533
22	-46.90333	-23.495569
23	-46.900062	-23.500787
24	-46.893961	-23.502638
25	-46.89649	-23.500271
26	-46.897473	-23.498307
27	-46.89686	-23.49661
28	-46.893538	-23.495647
29	-46.89162	-23.49624
30	-46.890064	-23.498165
31	-46.88933	-23.498507
32	-46.890515	-23.499375
33	-46.891788	-23.499288
34	-46.890364	-23.500407
35	-46.887237	-23.500654
36	-46.886848	-23.502275
37	-46.882285	-23.499732
38	-46.88214	-23.499674
39	-46.882457	-23.49921
40	-46.882672	-23.495882
41	-46.882301	-23.493551
42	-46.880616	-23.493897
43	-46.879303	-23.492515
44	-46.87953	-23.497049
45	-46.879261	-23.497545
46	-46.877871	-23.49738
47	-46.877547	-23.495833
48	-46.876147	-23.495842
49	-46.875848	-23.495936
50	-46.875862	-23.495574
51	-46.875069	-23.495492
52	-46.874832	-23.495725
53	-46.870086	-23.494958
54	-46.870259	-23.493375
55	-46.87162	-23.491135
56	-46.868799	-23.492064
57	-46.868993	-23.493976
58	-46.868857	-23.494015
59	-46.86802	-23.494268
60	-46.867706	-23.495327
61	-46.86816	-23.495397
62	-46.874575	-23.499473
63	-46.876112	-23.500744
64	-46.876958	-23.499908
65	-46.87933	-23.500374
66	-46.880167	-23.501307
67	-46.878083	-23.50293
68	-46.877311	-23.50378
69	-46.874137	-23.503309
70	-46.873125	-23.500947
71	-46.87035	-23.500663
72	-46.86995	-23.501489
73	-46.870025	-23.503672
74	-46.868452	-23.503337
75	-46.867265	-23.503652
76	-46.867498	-23.503158
77	-46.86739	-23.502483
78	-46.867848	-23.501913
79	-46.867187	-23.500184
80	-46.866451	-23.501389
81	-46.864387	-23.501535
