tour	ident	lon	lat
0	0	-46.615851	-23.69745
0	1	-46.613791	-23.694024
0	2	-46.614124	-23.692127
0	3	-46.611081	-23.68702
0	4	-46.613751	-23.685698
0	5	-46.619365	-23.685937
0	6	-46.619365	-23.685937
0	7	-46.619365	-23.685937
0	8	-46.619365	-23.685937
0	9	-46.620037	-23.686644
0	10	-46.621715	-23.688724
0	11	-46.619822	-23.689075
0	12	-46.619404	-23.689474
0	13	-46.620721	-23.690407
0	14	-46.621315	-23.692301
0	15	-46.621965	-23.691567
0	16	-46.621965	-23.691567
0	17	-46.623328	-23.6916
0	18	-46.623026	-23.689113
0	19	-46.623439	-23.689039
0	20	-46.623439	-23.689039
0	21	-46.623439	-23.689039
0	22	-46.625951	-23.683097
0	23	-46.626284	-23.679753
0	24	-46.623215	-23.681672
0	25	-46.622533	-23.6826
0	26	-46.621482	-23.682863
0	27	-46.620864	-23.68422
0	28	-46.619796	-23.682291
0	29	-46.619071	-23.682796
0	30	-46.619305	-23.678694
0	31	-46.619305	-23.678694
0	32	-46.613593	-23.681418
0	33	-46.614759	-23.682613
0	34	-46.612304	-23.68105
0	35	-46.611783	-23.682017
0	36	-46.60385	-23.683659
0	37	-46.598793	-23.682413
0	38	-46.598793	-23.682413
0	39	-46.59541	-23.677909
0	40	-46.599314	-23.67761
0	41	-46.600459	-23.678923
0	42	-46.6012	-23.681358
0	43	-46.601851	-23.680484
0	44	-46.602578	-23.680562
0	45	-46.602578	-23.680562
0	46	-46.602578	-23.680562
0	47	-46.605794	-23.678757
0	48	-46.603779	-23.678944
0	49	-46.601189	-23.674568
0	50	-46.601382	-23.671635
0	51	-46.600059	-23.669744
