vehicle_id	tour_id	route	ident	lon	lat
0	0	1	1	-70.625371	-33.619916
0	0	1	2	-70.623657	-33.631998
0	0	1	3	-70.611362	-33.62945
0	0	1	4	-70.618849	-33.615232
0	0	1	5	-70.604058	-33.594611
0	0	1	6	-70.60261	-33.592658
0	0	1	7	-70.5949	-33.587341
0	0	1	8	-70.586066	-33.588077
0	0	1	9	-70.589752	-33.593443
0	0	1	10	-70.590624	-33.59367
0	0	1	11	-70.584693	-33.598088
0	0	1	12	-70.585586	-33.601479
0	0	1	13	-70.588197	-33.606397
0	0	1	14	-70.590045	-33.607918
0	0	1	15	-70.57731	-33.621568
0	0	1	16	-70.57131	-33.605324
0	0	1	17	-70.572429	-33.595049
0	0	1	18	-70.565756	-33.595371
0	0	1	19	-70.565802	-33.598239
0	0	1	20	-70.551984	-33.594739
0	0	1	21	-70.542443	-33.596552
0	0	1	22	-70.548072	-33.603048
0	0	1	23	-70.538736	-33.613202
0	0	1	24	-70.534464	-33.611948
0	0	1	25	-70.535103	-33.623276
0	0	1	26	-70.532092	-33.661048
0	0	1	27	-70.532157	-33.688476
0	0	1	28	-70.546848	-33.714632
0	0	1	29	-70.607499	-33.703439
1	0	2	1	-70.594236	-33.539605
1	0	2	2	-70.602902	-33.555123
1	0	2	3	-70.596719	-33.553898
1	0	2	4	-70.586688	-33.562474
1	0	2	5	-70.580501	-33.564856
1	0	2	6	-70.570061	-33.566641
1	0	2	7	-70.569112	-33.566126
1	0	2	8	-70.571118	-33.573713
1	0	2	9	-70.573391	-33.577422
1	0	2	10	-70.577976	-33.575207
1	0	2	11	-70.585238	-33.585541
1	0	2	12	-70.570353	-33.58283
1	0	2	13	-70.566211	-33.58095
1	0	2	14	-70.565439	-33.580191
1	0	2	15	-70.562855	-33.591172
1	0	2	16	-70.546803	-33.587964
1	0	2	17	-70.535002	-33.593111
1	0	2	18	-70.539179	-33.575279
1	0	2	19	-70.536672	-33.571687
1	0	2	20	-70.551065	-33.568014
1	0	2	21	-70.559901	-33.562248
1	0	2	22	-70.55536	-33.550577
1	0	2	23	-70.539432	-33.536009
1	0	2	24	-70.550541	-33.536869
1	0	2	25	-70.556831	-33.531521
1	0	2	26	-70.558298	-33.531419
1	0	2	27	-70.56551	-33.532968
1	0	2	28	-70.56573	-33.537788
1	0	2	29	-70.577529	-33.534256
2	0	3	1	-70.61049	-33.512015
2	0	3	2	-70.602561	-33.514713
2	0	3	3	-70.602611	-33.514958
2	0	3	4	-70.598317	-33.515798
2	0	3	5	-70.592556	-33.516293
2	0	3	6	-70.591558	-33.516433
2	0	3	7	-70.586655	-33.514963
2	0	3	8	-70.604105	-33.526186
2	0	3	9	-70.600472	-33.526625
2	0	3	10	-70.599191	-33.526332
2	0	3	11	-70.597372	-33.526201
2	0	3	12	-70.595282	-33.526681
2	0	3	13	-70.586138	-33.531714
2	0	3	14	-70.581821	-33.524311
2	0	3	15	-70.575554	-33.524061
2	0	3	16	-70.571659	-33.518807
2	0	3	17	-70.571196	-33.518019
2	0	3	18	-70.577258	-33.510823
2	0	3	19	-70.570213	-33.51395
2	0	3	20	-70.564395	-33.519503
2	0	3	21	-70.564674	-33.523643
2	0	3	22	-70.557503	-33.524269
2	0	3	23	-70.557169	-33.525703
2	0	3	24	-70.539869	-33.518314
2	0	3	25	-70.539929	-33.515269
2	0	3	26	-70.537272	-33.516164
2	0	3	27	-70.527352	-33.51288
2	0	3	28	-70.524522	-33.510282
2	0	3	29	-70.525211	-33.517282
2	0	3	30	-70.5243	-33.520276
3	0	4	1	-70.912913	-33.536785
3	0	4	2	-70.984955	-33.57721
3	0	4	3	-71.084938	-33.496187
3	0	4	4	-71.084942	-33.496187
3	0	4	5	-71.187328	-33.590215
3	0	4	6	-71.216834	-33.588055
3	0	4	7	-71.209967	-33.569019
3	0	4	8	-71.294274	-33.462687
4	0	5	1	-70.710481	-33.411001
4	0	5	2	-70.709021	-33.41211
4	0	5	3	-70.698733	-33.426536
4	0	5	4	-70.704364	-33.433589
4	0	5	5	-70.703424	-33.435922
4	0	5	6	-70.70506	-33.436177
4	0	5	7	-70.704048	-33.436613
4	0	5	8	-70.700244	-33.441441
4	0	5	9	-70.700975	-33.450011
4	0	5	10	-70.706557	-33.459978
4	0	5	11	-70.711393	-33.465535
4	0	5	12	-70.702011	-33.468355
4	0	5	13	-70.695031	-33.473393
4	0	5	14	-70.688885	-33.468227
4	0	5	15	-70.69815	-33.452288
4	0	5	16	-70.697857	-33.452171
4	0	5	17	-70.69741	-33.443393
4	0	5	18	-70.692574	-33.440795
4	0	5	19	-70.690527	-33.438938
4	0	5	20	-70.688241	-33.423988
4	0	5	21	-70.695663	-33.420164
4	1	6	1	-70.715052	-33.433017
4	1	6	2	-70.706302	-33.448093
4	1	6	3	-70.704427	-33.456687
4	1	6	4	-70.72208	-33.457394
4	1	6	5	-70.730196	-33.465478
5	0	7	1	-70.767291	-33.488694
5	0	7	2	-70.757656	-33.495258
5	0	7	3	-70.755374	-33.498425
5	0	7	4	-70.761659	-33.504358
5	0	7	5	-70.762412	-33.506803
5	0	7	6	-70.756028	-33.515515
5	0	7	7	-70.754837	-33.52517
5	0	7	8	-70.750595	-33.53358
5	0	7	9	-70.76563	-33.533364
5	0	7	10	-70.771398	-33.535033
5	0	7	11	-70.772704	-33.53939
5	0	7	12	-70.771008	-33.540527
5	0	7	13	-70.766336	-33.55033
5	0	7	14	-70.774422	-33.53844
5	0	7	15	-70.780389	-33.532075
5	0	7	16	-70.777939	-33.528025
5	0	7	17	-70.770438	-33.526765
5	0	7	18	-70.764155	-33.519209
5	0	7	19	-70.770527	-33.511437
5	0	7	20	-70.790032	-33.503969
5	0	7	21	-70.780661	-33.503532
5	0	7	22	-70.773466	-33.487564
5	1	8	1	-70.797779	-33.509788
5	1	8	2	-70.78741	-33.524089
5	1	8	3	-70.783349	-33.530072
5	1	8	4	-70.783756	-33.536252
5	1	8	5	-70.783697	-33.536427
5	1	8	6	-70.782431	-33.542128
5	1	8	7	-70.78914	-33.545565
5	1	8	8	-70.790229	-33.544472
6	0	9	1	-70.746503	-33.469117
6	0	9	2	-70.747018	-33.470245
6	0	9	3	-70.744428	-33.475594
6	0	9	4	-70.744486	-33.476852
6	0	9	5	-70.741728	-33.480273
6	0	9	6	-70.739722	-33.478376
6	0	9	7	-70.736007	-33.476659
6	0	9	8	-70.736745	-33.470077
6	0	9	9	-70.725491	-33.475638
6	0	9	10	-70.725015	-33.476524
6	0	9	11	-70.726138	-33.480168
6	0	9	12	-70.734265	-33.479722
6	0	9	13	-70.740708	-33.487461
6	0	9	14	-70.73467	-33.488586
6	0	9	15	-70.736244	-33.489658
6	0	9	16	-70.736907	-33.499578
6	0	9	17	-70.754045	-33.496117
6	0	9	18	-70.761102	-33.491398
6	0	9	19	-70.766787	-33.482976
6	0	9	20	-70.760758	-33.482701
6	0	9	21	-70.761072	-33.478855
6	0	9	22	-70.75582	-33.477528
6	0	9	23	-70.754166	-33.475123
6	0	9	24	-70.755497	-33.471225
6	0	9	25	-70.760568	-33.465563
6	1	10	1	-70.68854	-33.484503
6	1	10	2	-70.720784	-33.500592
6	1	10	3	-70.717369	-33.509044
6	1	10	4	-70.704568	-33.511233
6	1	10	5	-70.717856	-33.527294
7	0	11	1	-70.758077	-33.38737
7	0	11	2	-70.773045	-33.397509
7	0	11	3	-70.759095	-33.405053
7	0	11	4	-70.762139	-33.418778
7	0	11	5	-70.755861	-33.418461
7	0	11	6	-70.750932	-33.414626
7	0	11	7	-70.742291	-33.406145
7	0	11	8	-70.733318	-33.40247
7	0	11	9	-70.729363	-33.408473
7	0	11	10	-70.718485	-33.40183
7	0	11	11	-70.708731	-33.399803
7	0	11	12	-70.710485	-33.403265
7	0	11	13	-70.716493	-33.405421
7	0	11	14	-70.717359	-33.415286
7	0	11	15	-70.721284	-33.421938
7	0	11	16	-70.746309	-33.417285
7	0	11	17	-70.748285	-33.418405
7	0	11	18	-70.75009	-33.42627
7	0	11	19	-70.742334	-33.425737
7	0	11	20	-70.742673	-33.43016
7	0	11	21	-70.742069	-33.431745
7	0	11	22	-70.746631	-33.433248
7	0	11	23	-70.754911	-33.440596
7	0	11	24	-70.761688	-33.439134
7	0	11	25	-70.772303	-33.438435
7	0	11	26	-70.776513	-33.434899
7	0	11	27	-70.816255	-33.438582
7	0	11	28	-70.803063	-33.441157
7	0	11	29	-70.800237	-33.441697
7	0	11	30	-70.79306	-33.442997
7	0	11	31	-70.776473	-33.44854
7	0	11	32	-70.76265	-33.451164
7	0	11	33	-70.758805	-33.451225
7	0	11	34	-70.761125	-33.45243
7	0	11	35	-70.763485	-33.452723
7	0	11	36	-70.763107	-33.456417
7	0	11	37	-70.759289	-33.45656
7	0	11	38	-70.751093	-33.455736
7	0	11	39	-70.736308	-33.458723
7	0	11	40	-70.738554	-33.464808
7	0	11	41	-70.738643	-33.464965
8	0	12	1	-70.604822	-33.446936
8	0	12	2	-70.605736	-33.448035
8	0	12	3	-70.606306	-33.449867
8	0	12	4	-70.605788	-33.453105
8	0	12	5	-70.605913	-33.455624
8	0	12	6	-70.607224	-33.455776
8	0	12	7	-70.607125	-33.458164
8	0	12	8	-70.609379	-33.457529
8	0	12	9	-70.610806	-33.456647
8	0	12	10	-70.609755	-33.455154
8	0	12	11	-70.611429	-33.455659
8	0	12	12	-70.612672	-33.455716
8	0	12	13	-70.613333	-33.454774
8	0	12	14	-70.612778	-33.453493
8	0	12	15	-70.612742	-33.452118
8	0	12	16	-70.612827	-33.451503
8	0	12	17	-70.613667	-33.453942
8	0	12	18	-70.615385	-33.45459
8	0	12	19	-70.614028	-33.455971
8	0	12	20	-70.617239	-33.457628
8	0	12	21	-70.618273	-33.456354
8	0	12	22	-70.618563	-33.45628
8	0	12	23	-70.622094	-33.45804
8	0	12	24	-70.625357	-33.45722
8	0	12	25	-70.625105	-33.455079
8	0	12	26	-70.624807	-33.451069
8	0	12	27	-70.624798	-33.451043
8	0	12	28	-70.625905	-33.451448
8	0	12	29	-70.626233	-33.451134
8	0	12	30	-70.626258	-33.451141
8	0	12	31	-70.628365	-33.450979
8	0	12	32	-70.626383	-33.448882
8	0	12	33	-70.628441	-33.447265
8	1	13	1	-70.625819	-33.46057
8	1	13	2	-70.624993	-33.462707
8	1	13	3	-70.624616	-33.463651
8	1	13	4	-70.620779	-33.463073
9	0	14	1	-70.58196	-33.434915
9	0	14	2	-70.580941	-33.435624
9	0	14	3	-70.579325	-33.436847
9	0	14	4	-70.57574	-33.437977
9	0	14	5	-70.575395	-33.43957
9	0	14	6	-70.57786	-33.439844
9	0	14	7	-70.5756	-33.441818
9	0	14	8	-70.574757	-33.443238
9	0	14	9	-70.572579	-33.443331
9	0	14	10	-70.571609	-33.449006
9	0	14	11	-70.572801	-33.449471
9	0	14	12	-70.573715	-33.452894
9	0	14	13	-70.574354	-33.453132
9	0	14	14	-70.573757	-33.453286
9	0	14	15	-70.571013	-33.455503
9	0	14	16	-70.573007	-33.456622
9	0	14	17	-70.573615	-33.456603
9	0	14	18	-70.573833	-33.456231
9	0	14	19	-70.575188	-33.456713
9	0	14	20	-70.574996	-33.461453
9	0	14	21	-70.578168	-33.456967
9	0	14	22	-70.578159	-33.456926
9	0	14	23	-70.577819	-33.456955
9	0	14	24	-70.57524	-33.455051
9	0	14	25	-70.577498	-33.454336
9	0	14	26	-70.578411	-33.453665
9	0	14	27	-70.576513	-33.451498
9	0	14	28	-70.577559	-33.44988
9	0	14	29	-70.579677	-33.449064
9	0	14	30	-70.576993	-33.446754
9	0	14	31	-70.577358	-33.446392
9	0	14	32	-70.580436	-33.443045
9	0	14	33	-70.580201	-33.442031
9	0	14	34	-70.585593	-33.43765
9	1	15	1	-70.590249	-33.447317
9	1	15	2	-70.589402	-33.446859
10	0	16	1	-70.604232	-33.455728
10	0	16	2	-70.604009	-33.455814
10	0	16	3	-70.602946	-33.456195
10	0	16	4	-70.601505	-33.457731
10	0	16	5	-70.60117	-33.456105
10	0	16	6	-70.598506	-33.453996
10	0	16	7	-70.596306	-33.454248
10	0	16	8	-70.59621	-33.453004
10	0	16	9	-70.595986	-33.451602
10	0	16	10	-70.599527	-33.451469
10	0	16	11	-70.602361	-33.451078
10	0	16	12	-70.604207	-33.450236
10	0	16	13	-70.601621	-33.448308
10	0	16	14	-70.600819	-33.447574
10	0	16	15	-70.600563	-33.447106
10	0	16	16	-70.598968	-33.446968
10	0	16	17	-70.596008	-33.446779
10	0	16	18	-70.596689	-33.447766
10	0	16	19	-70.59763	-33.448768
10	0	16	20	-70.59155	-33.44958
10	0	16	21	-70.590184	-33.449344
10	0	16	22	-70.5931	-33.451637
10	0	16	23	-70.593087	-33.452289
10	0	16	24	-70.591906	-33.454975
10	0	16	25	-70.589912	-33.455844
10	0	16	26	-70.588252	-33.454521
10	0	16	27	-70.588343	-33.455642
10	0	16	28	-70.588454	-33.455811
10	0	16	29	-70.590036	-33.457774
10	0	16	30	-70.588892	-33.458305
10	0	16	31	-70.589478	-33.461749
10	0	16	32	-70.593954	-33.461733
10	0	16	33	-70.59385	-33.459078
10	0	16	34	-70.598333	-33.460363
10	0	16	35	-70.600308	-33.460887
10	0	16	36	-70.600359	-33.460859
10	0	16	37	-70.600176	-33.462802
10	0	16	38	-70.596841	-33.467639
11	0	17	1	-70.544824	-33.465006
11	0	17	2	-70.539363	-33.472699
11	0	17	3	-70.542237	-33.482306
11	0	17	4	-70.537343	-33.495362
11	0	17	5	-70.538435	-33.497584
